date,number_of_checks-no_verification,os-se,count-nombre
2021-04-25,30+,ios,<20
2021-05-02,0,android,<20
2021-05-02,0,ios,<20
2021-05-02,1-6,android,4395107
2021-05-02,1-6,ios,5735069
2021-05-02,7-12,android,462195
2021-05-02,7-12,ios,10561527
2021-05-02,13-30,android,1446
2021-05-02,13-30,ios,29463
2021-05-02,30+,android,<20
2021-05-02,30+,ios,<20
2021-05-09,0,android,<20
2021-05-09,0,ios,<20
2021-05-09,1-6,android,4329651
2021-05-09,1-6,ios,3371658
2021-05-09,7-12,android,540043
2021-05-09,7-12,ios,12853728
2021-05-09,13-30,android,1909
2021-05-09,13-30,ios,44855
2021-05-09,30+,android,<20
2021-05-09,30+,ios,<20
2021-05-16,0,android,<20
2021-05-16,0,ios,<20
2021-05-16,1-6,android,4306776
2021-05-16,1-6,ios,3268876
2021-05-16,7-12,android,525465
2021-05-16,7-12,ios,12865191
2021-05-16,13-30,android,1671
2021-05-16,13-30,ios,43785
2021-05-16,30+,android,<20
2021-05-16,30+,ios,<20
2021-05-23,0,android,<20
2021-05-23,0,ios,<20
2021-05-23,1-6,android,4306703
2021-05-23,1-6,ios,3302650
2021-05-23,7-12,android,501393
2021-05-23,7-12,ios,12673012
2021-05-23,13-30,android,1490
2021-05-23,13-30,ios,42298
2021-05-23,30+,android,<20
2021-05-23,30+,ios,<20
2021-05-30,0,android,<20
2021-05-30,0,ios,<20
2021-05-30,1-6,android,4329318
2021-05-30,1-6,ios,3373653
2021-05-30,7-12,android,497096
2021-05-30,7-12,ios,12431433
2021-05-30,13-30,android,1430
2021-05-30,13-30,ios,39986
2021-05-30,30+,android,<20
2021-05-30,30+,ios,<20
2021-06-06,0,android,<20
2021-06-06,0,ios,<20
2021-06-06,1-6,android,5006940
2021-06-06,1-6,ios,3360144
2021-06-06,7-12,android,699602
2021-06-06,7-12,ios,12319167
2021-06-06,13-30,android,3674
2021-06-06,13-30,ios,38684
2021-06-06,30+,android,<20
2021-06-06,30+,ios,<20
2021-06-13,0,android,<20
2021-06-13,0,ios,<20
2021-06-13,1-6,android,5214365
2021-06-13,1-6,ios,3215793
2021-06-13,7-12,android,855028
2021-06-13,7-12,ios,12308601
2021-06-13,13-30,android,3094
2021-06-13,13-30,ios,37360
2021-06-13,30+,android,<20
2021-06-13,30+,ios,<20
2021-06-20,0,android,<20
2021-06-20,0,ios,<20
2021-06-20,1-6,android,5163294
2021-06-20,1-6,ios,3027908
2021-06-20,7-12,android,857206
2021-06-20,7-12,ios,12293436
2021-06-20,13-30,android,2109
2021-06-20,13-30,ios,35091
2021-06-20,30+,android,<20
2021-06-20,30+,ios,<20
2021-06-27,0,android,<20
2021-06-27,0,ios,<20
2021-06-27,1-6,android,5121182
2021-06-27,1-6,ios,3097454
2021-06-27,7-12,android,842498
2021-06-27,7-12,ios,11995070
2021-06-27,13-30,android,1782
2021-06-27,13-30,ios,32464
2021-06-27,30+,android,<20
2021-06-27,30+,ios,<20
2021-07-04,0,android,<20
2021-07-04,0,ios,<20
2021-07-04,1-6,android,5024289
2021-07-04,1-6,ios,3160819
2021-07-04,7-12,android,850315
2021-07-04,7-12,ios,11658715
2021-07-04,13-30,android,1617
2021-07-04,13-30,ios,30005
2021-07-04,30+,android,<20
2021-07-04,30+,ios,<20
2021-07-11,0,android,<20
2021-07-11,0,ios,<20
2021-07-11,1-6,android,4921683
2021-07-11,1-6,ios,3189839
2021-07-11,7-12,android,886609
2021-07-11,7-12,ios,11395461
2021-07-11,13-30,android,1655
2021-07-11,13-30,ios,28275
2021-07-11,30+,android,<20
2021-07-11,30+,ios,<20
2021-07-18,0,android,<20
2021-07-18,0,ios,<20
2021-07-18,1-6,android,4763545
2021-07-18,1-6,ios,3212680
2021-07-18,7-12,android,940483
2021-07-18,7-12,ios,11156536
2021-07-18,13-30,android,11831
2021-07-18,13-30,ios,26305
2021-07-18,30+,android,<20
2021-07-18,30+,ios,<20
2021-07-25,0,android,<20
2021-07-25,0,ios,<20
2021-07-25,1-6,android,4583747
2021-07-25,1-6,ios,3181105
2021-07-25,7-12,android,1009451
2021-07-25,7-12,ios,11003428
2021-07-25,13-30,android,23889
2021-07-25,13-30,ios,24829
2021-07-25,30+,android,<20
2021-07-25,30+,ios,<20
2021-08-01,0,android,<20
2021-08-01,0,ios,<20
2021-08-01,1-6,android,4505573
2021-08-01,1-6,ios,3178264
2021-08-01,7-12,android,982485
2021-08-01,7-12,ios,10832227
2021-08-01,13-30,android,23720
2021-08-01,13-30,ios,24213
2021-08-01,30+,android,<20
2021-08-01,30+,ios,<20
2021-08-08,0,android,<20
2021-08-08,0,ios,<20
2021-08-08,1-6,android,4460264
2021-08-08,1-6,ios,3622371
2021-08-08,7-12,android,977944
2021-08-08,7-12,ios,8676357
2021-08-08,13-30,android,23864
2021-08-08,13-30,ios,18885
2021-08-08,30+,android,<20
2021-08-08,30+,ios,<20
2021-08-15,0,android,<20
2021-08-15,0,ios,<20
2021-08-15,1-6,android,4430811
2021-08-15,1-6,ios,7292591
2021-08-15,7-12,android,1024668
2021-08-15,7-12,ios,2272541
2021-08-15,13-30,android,25926
2021-08-15,13-30,ios,5478
2021-08-15,30+,android,<20
2021-08-15,30+,ios,<20
2021-08-22,0,android,<20
2021-08-22,0,ios,<20
2021-08-22,1-6,android,4363801
2021-08-22,1-6,ios,7309371
2021-08-22,7-12,android,947478
2021-08-22,7-12,ios,3787649
2021-08-22,13-30,android,23259
2021-08-22,13-30,ios,6033
2021-08-22,30+,android,<20
2021-08-22,30+,ios,<20
2021-08-29,0,android,<20
2021-08-29,0,ios,<20
2021-08-29,1-6,android,4345365
2021-08-29,1-6,ios,7354067
2021-08-29,7-12,android,910470
2021-08-29,7-12,ios,3647468
2021-08-29,13-30,android,21783
2021-08-29,13-30,ios,5651
2021-08-29,30+,android,<20
2021-08-29,30+,ios,<20
2021-09-05,0,android,<20
2021-09-05,0,ios,<20
2021-09-05,1-6,android,4320684
2021-09-05,1-6,ios,6935678
2021-09-05,7-12,android,906452
2021-09-05,7-12,ios,5542401
2021-09-05,13-30,android,21418
2021-09-05,13-30,ios,8472
2021-09-05,30+,android,<20
2021-09-05,30+,ios,<20
2021-09-12,0,android,<20
2021-09-12,0,ios,<20
2021-09-12,1-6,android,4305498
2021-09-12,1-6,ios,3276054
2021-09-12,7-12,android,912403
2021-09-12,7-12,ios,11283911
2021-09-12,13-30,android,21450
2021-09-12,13-30,ios,18200
2021-09-12,30+,android,<20
2021-09-12,30+,ios,<20
2021-09-19,0,android,<20
2021-09-19,0,ios,<20
2021-09-19,1-6,android,4276202
2021-09-19,1-6,ios,3077026
2021-09-19,7-12,android,929623
2021-09-19,7-12,ios,11557035
2021-09-19,13-30,android,22349
2021-09-19,13-30,ios,17905
2021-09-19,30+,android,<20
2021-09-19,30+,ios,<20
2021-09-26,0,android,<20
2021-09-26,0,ios,<20
2021-09-26,1-6,android,3999324
2021-09-26,1-6,ios,2835746
2021-09-26,7-12,android,876204
2021-09-26,7-12,ios,10710611
2021-09-26,13-30,android,20545
2021-09-26,13-30,ios,16825
2021-09-26,30+,android,<20
2021-09-26,30+,ios,<20
2021-10-03,0,android,<20
2021-10-03,0,ios,<20
2021-10-03,1-6,android,4178817
2021-10-03,1-6,ios,3020014
2021-10-03,7-12,android,928650
2021-10-03,7-12,ios,11422758
2021-10-03,13-30,android,22017
2021-10-03,13-30,ios,16889
2021-10-03,30+,android,<20
2021-10-03,30+,ios,<20
2021-10-10,0,android,<20
2021-10-10,0,ios,<20
2021-10-10,1-6,android,4053154
2021-10-10,1-6,ios,2915554
2021-10-10,7-12,android,880277
2021-10-10,7-12,ios,10854495
2021-10-10,13-30,android,20247
2021-10-10,13-30,ios,16601
2021-10-10,30+,android,<20
2021-10-10,30+,ios,<20
2021-10-17,0,android,<20
2021-10-17,0,ios,<20
2021-10-17,1-6,android,4077551
2021-10-17,1-6,ios,2936687
2021-10-17,7-12,android,879603
2021-10-17,7-12,ios,11035878
2021-10-17,13-30,android,20598
2021-10-17,13-30,ios,16696
2021-10-17,30+,android,<20
2021-10-17,30+,ios,<20
